Date,Item,Supplier,Amount,Paid Via,Category,Purchasee,Full Amount,TIN,Invoice No.,Address
"July 23, 2025","Ice","Ivoryway",180.00,Cash,Supplies,Store,,,,
"July 23, 2025","1L Coconut Water","Fruitas",170.00,Cash,Supplies,Store,,,,
"July 23, 2025","Grocery","Supermarket",1286.00,Cash,Supplies,Store,,,,
"July 23, 2025","Market pens","Abacus Book and Card Corp.",111.00,Cash,Supplies,Store,,,,
"July 21, 2025",,"MDR Consumer Goods Dairy milk 60L, White Sugar 5kh",4900.00,Non-Cash,Supplies,Store,,,,
"July 21, 2025","Delivery","Lalamove",100.00,Cash,Delivery,Store,,,,
"July 21, 2025","Nailcutter, Salonpas, Advil","Watsons",425.75,Cash,Supplies,Store,,,,
"July 21, 2025","Ice","R&BTube Ice",225.00,Cash,Supplies,Store,,,,
"July 20, 2025","Ice","Ivoryway",112.50,Cash,Supplies,Store,,,,
"July 20, 2025","Warabi","Lalamove",190.00,Cash,Delivery,Store,,,,
"July 20, 2025","Coconut water 1.5L","Fruitas",255.00,Cash,Supplies,Store,,,,
"July 20, 2025","Ice packs 3","7/11",90.00,Cash,Supplies,Store,,,,
"July 19, 2025","Tape","Abacus Book and Card Corp.",350.00,Cash,Supplies,Store,,,,
"July 19, 2025","Whipping Cream","S&R",1382.85,Non-Cash,Supplies,Store,,,,
"July 19, 2025","Whipped Cream","Arlene's Dairyhouse",2275.00,Non-Cash,Supplies,Store,,,,
"July 19, 2025","16oz Cups, 98mm Strawless lids","Irish Luck Inc",4536.00,Non-Cash,Supplies,Store,,,,
"July 19, 2025","Ice 3 packs","7/11",90.00,Cash,Supplies,Store,,,,
"July 19, 2025","Ice","Ivoryway",135.00,Cash,Supplies,Store,,,,
"July 18, 2025","Wooden Stir, Straw","Haig and Lee Import Export Corp.",1240.00,Non-Cash,Supplies,Store,,,,
"July 18, 2025","Mascarpone","Arlene's Dairyhouse",1870.00,Non-Cash,Supplies,Store,,,,
"July 18, 2025","Ice","Ivoryway",112.50,Cash,Supplies,Store,,,,
"July 18, 2025","Cookies","Lalamove",126.00,Cash,Supplies,Store,,,,
"July 18, 2025","Online Store items","AC Packaging",3671.00,Non-Cash,Supplies,Store,,,,
"July 17, 2025","Everwhip, Dalandan, Dishwashing liquid, Sponge","SM",795.50,Non-Cash,Supplies,Store,,,,
"July 17, 2025","Sweet Potato","Unknown",63.00,Cash,Supplies,Store,,,,
"July 17, 2025","Strawberry Can 12, Whipping Cream","Global Pacific",3325.62,Non-Cash,Supplies,Store,,,,
"July 17, 2025","Sweet potato","Lalamove",100.00,Cash,Delivery,Store,,,,
"July 16, 2025","Rider Tip","Grab",50.00,Cash,Delivery,Store,,,,
"July 16, 2025","Whipped Cream 6L","S&R",2765.70,Non-Cash,Supplies,Store,,,,
"July 16, 2025","Ice","Ivoryway",247.50,Cash,Supplies,Store,,,,
"July 16, 2025","Matcha","Lalamove",170.00,Cash,Delivery,Store,,,,
"July 16, 2025","Rider Tip","Grab",30.00,Cash,Delivery,Store,,,,
"July 15, 2025","Laciate 5box","M.D.R Consumer Goods Trading",4900.00,Non-Cash,Supplies,Store,,,,
"July 15, 2025","Delivery","Lalamove",103.00,Cash,Supplies,Store,,,,
"July 15, 2025","Ice","R&BTube Ice",180.00,Cash,Supplies,Store,,,,
"July 15, 2025","Customer tissue","Unknown",414.40,Non-Cash,Supplies,Store,,,,
"July 14, 2025","Whipped cream, Dairy milk, Mascarpone","Arlene's Dairyhouse",3038.00,Non-Cash,Supplies,Store,,,,
"July 14, 2025","Coconut water","Fruitas",85.00,Cash,Supplies,Store,,,,
"July 14, 2025","Ice tube","Unknown",180.00,Cash,Supplies,Store,,,,
"July 14, 2025","Eggs, White Sugar, Dalandan","SM Supermarket",398.00,Cash,Supplies,Store,,,,
"July 13, 2025","Ice","Ivoryway",135.00,Cash,Supplies,Store,,,,
"July 12, 2025","Ice packs","R&BTube Ice",180.00,Cash,Supplies,Store,,,,
"July 11, 2025","Cookies","Lalamove",140.00,Cash,Delivery,Store,,,,
